months_loan_duration,credit_history,purpose,amount,percent_of_income,years_at_residence,age,other_credit,housing,existing_loans_count,job,dependents,phone,default
6,critical,furniture/appliances,1169,4,4,67,none,own,2,skilled,1,yes,no
48,good,furniture/appliances,5951,2,2,22,none,own,1,skilled,1,no,yes
12,critical,education,2096,2,3,49,none,own,1,unskilled,2,no,no
42,good,furniture/appliances,7882,2,4,45,none,other,1,skilled,2,no,no
24,poor,car,4870,3,4,53,none,other,2,skilled,2,no,yes
36,good,education,9055,2,4,35,none,other,1,unskilled,2,yes,no
24,good,furniture/appliances,2835,3,4,53,none,own,1,skilled,1,no,no
36,good,car,6948,2,2,35,none,rent,1,management,1,yes,no
12,good,furniture/appliances,3059,2,4,61,none,own,1,unskilled,1,no,no
30,critical,car,5234,4,2,28,none,own,2,management,1,no,yes
12,good,car,1295,3,1,25,none,rent,1,skilled,1,no,yes
48,good,business,4308,3,4,24,none,rent,1,skilled,1,no,yes
12,good,furniture/appliances,1567,1,1,22,none,own,1,skilled,1,yes,no
24,critical,car,1199,4,4,60,none,own,2,unskilled,1,no,yes
15,good,car,1403,2,4,28,none,rent,1,skilled,1,no,no
24,good,furniture/appliances,1282,4,2,32,none,own,1,unskilled,1,no,yes
24,critical,furniture/appliances,2424,4,4,53,none,own,2,skilled,1,no,no
30,perfect,business,8072,2,3,25,bank,own,3,skilled,1,no,no
24,good,car,12579,4,2,44,none,other,1,management,1,yes,yes
24,good,furniture/appliances,3430,3,2,31,none,own,1,skilled,2,yes,no
9,critical,car,2134,4,4,48,none,own,3,skilled,1,yes,no
6,good,furniture/appliances,2647,2,3,44,none,rent,1,skilled,2,no,no
10,critical,car,2241,1,3,48,none,rent,2,unskilled,2,no,no
12,critical,car,1804,3,4,44,none,own,1,skilled,1,no,no
10,critical,furniture/appliances,2069,2,1,26,none,own,2,skilled,1,no,no
6,good,furniture/appliances,1374,1,2,36,bank,own,1,unskilled,1,yes,no
6,perfect,furniture/appliances,426,4,4,39,none,own,1,unskilled,1,no,no
12,very good,furniture/appliances,409,3,3,42,none,rent,2,skilled,1,no,no
7,good,furniture/appliances,2415,3,2,34,none,own,1,skilled,1,no,no
60,poor,business,6836,3,4,63,none,own,2,skilled,1,yes,yes
18,good,business,1913,3,3,36,bank,own,1,skilled,1,yes,no
24,good,furniture/appliances,4020,2,2,27,store,own,1,skilled,1,no,no
18,good,car,5866,2,2,30,none,own,2,skilled,1,yes,no
12,critical,business,1264,4,4,57,none,rent,1,unskilled,1,no,no
12,good,furniture/appliances,1474,4,1,33,bank,own,1,management,1,yes,no
45,critical,furniture/appliances,4746,4,2,25,none,own,2,unskilled,1,no,yes
48,critical,education,6110,1,3,31,bank,other,1,skilled,1,yes,no
